school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t025,Bentley,NE10,120,26,7,265,2.21,1346,11.22,89,426,2.52,1712,14.27,1449,533,4155,0.22,34.63,12.08,0.787878788,1274,733,4143,0.131
t026,Biola,PacWest,108,9,19,195,1.81,1126,10.43,30,208,1.24,1481,13.71,1218,621,3650,0.164,33.8,11.28,0.321428571,1237,473,3443,0.222
t027,Black Hills St.,RMAC,96,5,21,133,1.39,1005,10.47,56,208,1.67,1612,16.79,1099,515,3616,0.162,37.67,11.45,0.192307692,1314,482,3663,0.227
t028,Bloomfield,CACC,68,0,22,85,1.25,396,5.82,25,71,0.89,706,10.38,417,420,1848,-0.002,27.18,6.13,0,845,288,1953,0.285
t029,Bloomsburg,PSAC,100,9,18,235,2.35,1071,10.71,45,216,1.53,1580,15.8,1152,654,3726,0.134,37.26,11.52,0.333333333,1147,476,3391,0.198
t030,Bluefield St.,CIAA,125,16,18,238,1.9,1191,9.53,89,345,2.09,1670,13.36,1352,641,3968,0.179,31.74,10.82,0.470588235,1443,755,4171,0.165
t031,Bowie St.,CIAA,106,10,20,167,1.58,989,9.33,83,257,2,1479,13.95,1082,602,3471,0.138,32.75,10.21,0.333333333,1212,633,3652,0.159
t032,Bridgeport,CACC,113,20,10,250,2.21,1361,12.04,40,224,1.35,1729,15.3,1460,521,4117,0.228,36.43,12.92,0.666666667,1292,592,3918,0.179
t033,Cal Poly Humboldt,CCAA,97,8,18,153,1.58,1024,10.56,47,250,1.77,1458,15.03,1132,610,3473,0.15,35.8,11.67,0.307692308,1212,463,3363,0.223
t034,Cal Poly Pomona,CCAA,101,25,4,212,2.1,1237,12.25,73,309,2.25,1671,16.54,1392,457,3696,0.253,36.59,13.78,0.862068966,1092,535,3632,0.153
t035,Cal St. Dom. Hills,CCAA,96,7,19,154,1.6,1026,10.69,41,240,1.68,1373,14.3,1108,556,3455,0.16,35.99,11.54,0.269230769,1245,475,3374,0.228
t036,Cal St. East Bay,CCAA,98,13,14,165,1.68,1081,11.03,57,267,1.94,1512,15.43,1200,464,3561,0.207,36.34,12.24,0.481481481,1304,546,3704,0.205
t037,Cal St. Monterey Bay,CCAA,97,6,19,134,1.38,1082,11.15,50,172,1.4,1421,14.65,1151,557,3433,0.173,35.39,11.87,0.24,1256,467,3372,0.234
t038,Cal St. San Marcos,CCAA,98,9,16,148,1.51,1040,10.61,53,268,1.91,1439,14.68,1106,489,3328,0.185,33.96,11.29,0.36,1297,515,3481,0.225
t039,Cal State LA,CCAA,118,18,11,216,1.83,1326,11.24,60,328,1.9,1629,13.81,1435,598,3854,0.217,32.66,12.16,0.620689655,1297,583,3819,0.187
t040,Caldwell,CACC,89,2,25,154,1.73,594,6.67,36,110,1.02,942,10.58,646,458,2459,0.076,27.63,7.26,0.074074074,1159,391,2632,0.292
t041,California (PA),PSAC,82,3,20,60,0.73,726,8.85,37,262,2.05,1368,16.68,793,406,2858,0.135,34.85,9.67,0.130434783,1275,502,3402,0.227
t042,Cameron,Lone Star,96,2,26,96,1,885,9.22,28,166,1.16,1432,14.92,955,595,3374,0.107,35.15,9.95,0.071428571,1271,406,3324,0.26
t043,Carson-Newman,South Atlantic,105,16,11,164,1.56,1288,12.27,49,330,2.04,1812,17.26,1366,606,3997,0.19,38.07,13.01,0.592592593,1231,572,3981,0.166
t044,Catawba,South Atlantic,91,4,21,104,1.14,867,9.53,44,172,1.43,1454,15.98,959,638,3421,0.094,37.59,10.54,0.16,1097,409,3211,0.214
t045,Cedarville,G-MAC,93,14,11,153,1.65,1150,12.37,67,295,2.31,1387,14.91,1236,502,3247,0.226,34.91,13.29,0.56,1105,477,3185,0.197
t046,Central Mo.,MIAA,100,11,15,141,1.41,1265,12.65,46,324,2.08,1645,16.45,1356,593,3884,0.196,38.84,13.56,0.423076923,1251,517,3681,0.199
t047,Central Okla.,MIAA,131,33,3,176,1.34,1768,13.5,90,400,2.21,2513,19.18,1903,575,5156,0.258,39.36,14.53,0.916666667,1552,749,5225,0.154
